Classe di età;Città storica;Ovest;Sud;Nordest;Totale
-1 anno;124;128;76;234;562
1-4;476;503;357;895;2231
5-9;460;494;322;870;2146
10-14;356;313;253;617;1539
15-19;310;280;262;614;1466
20-24;533;464;332;741;2070
25-29;748;699;470;1208;3125
30-34;973;831;591;1488;3883
35-39;945;846;629;1531;3951
40-44;820;658;481;1353;3312
45-49;598;503;406;944;2451
50-54;478;307;327;611;1723
55-59;343;231;254;415;1243
60-64;189;168;173;252;782
65-69;94;105;94;143;436
70-74;54;74;42;80;250
75-79;27;45;32;51;155
80-84;13;14;17;21;65
85 e +;5;13;11;12;41
