Classi_eta;celibe_nubile;coniugato_a;vedovo_a;divorziato_a;totale
0 - 4;8632;;;;8632
5 - 9 ;8821;;;;8821
10 - 14;8447;;;;8447
15 - 19;7952;11;;;7963
20 - 24;7807;282;3;;8092
25 - 29;7297;1829;19;5;9150
30 - 34;6486;4416;78;19;10999
35 - 39;6136;7034;248;36;13454
40 - 44;5496;8964;563;78;15101
45 - 49;4049;9344;809;140;14342
50 - 54;2932;8578;961;202;12673
55 - 59;2055;7380;802;331;10568
60 - 64;1380;6465;614;506;8965
65 - 69;993;6615;547;860;9015
70 - 74;724;5286;271;1288;7569
75 - 79;592;4240;164;1802;6798
80 - 84;417;2481;69;2195;5162
85 e oltre;441;1535;73;3855;5904
